Index,Nombre,ISO3,ISO2,Año,Tipo,Pob Total (k),Densidad (xkm2),Sexo (h x 100 m),Mediana Edad,Cambio Natural (x1000),Natalidad (x1000),Nacimientos por mujer,Mediana edad alumbramiento,Mortalidad (x1000),Esperanza Vida al nacer,Mortalidad <5 (x1000 nac),Migracion(x1000),Mortalidad <40 (x1000 nac),Mortalidad <60 (x1000 nac)
151,Northern Africa and Western Asia,,,1955,SDG region,114739.169,9.195,101.082,18.893,25.513,47.443,6.541,29.115,21.93,44.658,285.597,-0.672,402.458,544.386
152,Northern Africa and Western Asia,,,1956,SDG region,117717.538,9.434,101.107,18.805,25.856,47.289,6.549,29.111,21.433,45.143,278.877,0.525,395.998,538.796
153,Northern Africa and Western Asia,,,1957,SDG region,120834.951,9.683,101.117,18.697,25.549,46.561,6.484,29.097,21.012,45.588,272.485,0.356,389.345,533.483
154,Northern Africa and Western Asia,,,1958,SDG region,123970.942,9.935,101.112,18.572,25.655,46.309,6.492,29.093,20.654,45.909,266.056,-0.311,385.184,530.633
155,Northern Africa and Western Asia,,,1959,SDG region,127206.643,10.194,101.117,18.416,26.134,46.209,6.528,29.096,20.075,46.573,259.12,0.032,376.376,522.04
156,Northern Africa and Western Asia,,,1960,SDG region,130562.345,10.463,101.141,18.238,26.307,45.903,6.531,29.081,19.596,47.089,252.494,-0.408,369.592,515.645
157,Northern Africa and Western Asia,,,1961,SDG region,133993.348,10.738,101.176,18.048,26.748,45.738,6.558,29.08,18.99,47.819,245.058,-0.795,359.676,505.926
158,Northern Africa and Western Asia,,,1962,SDG region,137570.741,11.025,101.229,17.851,27.106,45.761,6.608,29.076,18.655,48.289,238.656,-0.4,353.529,500.638
159,Northern Africa and Western Asia,,,1963,SDG region,141281.522,11.322,101.287,17.655,27.243,45.279,6.589,29.094,18.036,49.147,231.679,-0.738,341.252,487.653
160,Northern Africa and Western Asia,,,1964,SDG region,145076.228,11.626,101.358,17.495,27.319,44.758,6.555,29.123,17.439,49.978,224.729,-0.842,329.254,475.42
161,Northern Africa and Western Asia,,,1965,SDG region,148930.322,11.935,101.438,17.388,27.085,44.156,6.504,29.159,17.071,50.357,218.946,-1.149,324.679,471.468
162,Northern Africa and Western Asia,,,1966,SDG region,152935.827,12.256,101.433,17.282,26.872,43.659,6.457,29.183,16.787,50.585,213.679,0.236,321.524,469.943
163,Northern Africa and Western Asia,,,1967,SDG region,157138.191,12.593,101.359,17.174,26.526,42.969,6.397,29.275,16.443,51.034,207.988,0.588,315.237,464.575
164,Northern Africa and Western Asia,,,1968,SDG region,161455.747,12.939,101.28,17.071,26.585,42.608,6.359,29.265,16.023,51.561,202.597,0.527,307.363,457.272
165,Northern Africa and Western Asia,,,1969,SDG region,165851.333,13.291,101.227,16.994,26.565,42.29,6.319,29.26,15.725,51.971,197.276,0.061,301.614,452.463
166,Northern Africa and Western Asia,,,1970,SDG region,170289.507,13.647,101.245,16.961,26.797,42.058,6.276,29.24,15.261,52.497,192.004,-0.61,294.33,445.276
167,Northern Africa and Western Asia,,,1971,SDG region,174797.017,14.008,101.362,16.987,27.215,41.892,6.226,29.194,14.677,53.371,186.237,-1.186,281.442,431.478
168,Northern Africa and Western Asia,,,1972,SDG region,179425.053,14.379,101.529,17.047,27.258,41.533,6.16,29.197,14.275,53.947,180.803,-1.066,274.271,423.491
169,Northern Africa and Western Asia,,,1973,SDG region,184199.976,14.761,101.661,17.094,27.189,41.123,6.091,29.231,13.934,54.362,174.641,-0.889,269.83,419.535
170,Northern Africa and Western Asia,,,1974,SDG region,189167.802,15.159,101.813,17.148,27.38,40.801,6.027,29.248,13.421,55.199,168.689,-0.493,257.904,406.398
